cep;endereco;id_bairro;id_cidade;id_estado;id_regiao;tipo;logradouro;latitude;longitude;ativo
11775622;Avenida Governador Mário Covas Júnior;54871;54;26;4;"";Avenida Governador Mário Covas Júnior;0.00000000;0.00000000;true
11775180;Viela Antonio Jovino Alves;54867;54;26;4;"";Viela Antonio Jovino Alves;0.00000000;0.00000000;true
11772062;Rua Solimões;54819;54;26;4;"";Rua Solimões;0.00000000;0.00000000;true
11774056;Rua Segunda;54891;54;26;4;"";Rua Segunda;0.00000000;0.00000000;true
11773756;Rua Sete;54845;54;26;4;"";Rua Sete;0.00000000;0.00000000;true
11783788;Rua Um;54888;54;26;4;"";Rua Um;0.00000000;0.00000000;true
11772626;Avenida Edson Vieira Carreira;54890;54;26;4;"";Avenida Edson Vieira Carreira;0.00000000;0.00000000;true
11770652;Avenida Governador Mário Covas Júnior;54869;54;26;4;"";Avenida Governador Mário Covas Júnior;0.00000000;0.00000000;true
11772476;Avenida Prefeito Doutor Gheorghe Popescu;54892;54;26;4;"";Avenida Prefeito Doutor Gheorghe Popescu;0.00000000;0.00000000;true
11775532;Rua Brilhante;54861;54;26;4;"";Rua Brilhante;0.00000000;0.00000000;true
11783152;Viela Cinco;54820;54;26;4;"";Viela Cinco;0.00000000;0.00000000;true
11783226;Rua B;54830;54;26;4;"";Rua B;0.00000000;0.00000000;true
11782630;Rua Trinta e Nove;54831;54;26;4;"";Rua Trinta e Nove;0.00000000;0.00000000;true
11772060;Praça Mauro de Oliveira;54819;54;26;4;"";Praça Mauro de Oliveira;0.00000000;0.00000000;true
11783546;Viela Um;54839;54;26;4;"";Viela Um;0.00000000;0.00000000;true
11782730;Viela Santo Antonio;54821;54;26;4;"";Viela Santo Antonio;0.00000000;0.00000000;true
11771242;Rua Parapuã;54893;54;26;4;"";Rua Parapuã;0.00000000;0.00000000;true
11783338;Rua Três;54830;54;26;4;"";Rua Três;0.00000000;0.00000000;true
11770852;Rua Alvim Silva;54841;54;26;4;"";Rua Alvim Silva;0.00000000;0.00000000;true
11783022;Rua Araraquara;54853;54;26;4;"";Rua Araraquara;0.00000000;0.00000000;true
11771614;Avenida Peritiba;54894;54;26;4;"";Avenida Peritiba;0.00000000;0.00000000;true
11770860;Rua Dona Leopoldina Andozio;54841;54;26;4;"";Rua Dona Leopoldina Andozio;0.00000000;0.00000000;true
11775230;Rua Cinco;54867;54;26;4;"";Rua Cinco;0.00000000;0.00000000;true
11772622;Rua Vereador Alcides Donadelli;54890;54;26;4;"";Rua Vereador Alcides Donadelli;0.00000000;0.00000000;true
11774036;Rua Dezesseis;54891;54;26;4;"";Rua Dezesseis;0.00000000;0.00000000;true
11770412;Avenida Governador Mário Covas Júnior;54823;54;26;4;"";Avenida Governador Mário Covas Júnior;0.00000000;0.00000000;true
11776874;Rua Jair Nunes de Souza;54886;54;26;4;"";Rua Jair Nunes de Souza;0.00000000;0.00000000;true
11771772;Avenida Doutor Tancredo de Almeida Neves;54895;54;26;4;"";Avenida Doutor Tancredo de Almeida Neves;0.00000000;0.00000000;true
11772160;Rua Casimiro de Abreu;54819;54;26;4;"";Rua Casimiro de Abreu;0.00000000;0.00000000;true
11773872;Rua Vinte e Oito;54849;54;26;4;"";Rua Vinte e Oito;0.00000000;0.00000000;true
11777468;Rua Paraná;54878;54;26;4;"";Rua Paraná;0.00000000;0.00000000;true
11772134;Rua Eldorado;54819;54;26;4;"";Rua Eldorado;0.00000000;0.00000000;true
11776362;Rua São Carlos;54833;54;26;4;"";Rua São Carlos;0.00000000;0.00000000;true
11775660;Rua Jurema;54871;54;26;4;"";Rua Jurema;0.00000000;0.00000000;true
11775472;Avenida Governador Mário Covas Júnior;54896;54;26;4;"";Avenida Governador Mário Covas Júnior;0.00000000;0.00000000;true
11776796;Rua Mathilde Costa Primo;54897;54;26;4;"";Rua Mathilde Costa Primo;0.00000000;0.00000000;true
11770502;Rua Recife;54838;54;26;4;"";Rua Recife;0.00000000;0.00000000;true
11773178;Viela Nove;54826;54;26;4;"";Viela Nove;0.00000000;0.00000000;true
11775644;Avenida Anna Celina;54871;54;26;4;"";Avenida Anna Celina;0.00000000;0.00000000;true
11772492;Rua Cantídio Nogueira Sampaio;54892;54;26;4;"";Rua Cantídio Nogueira Sampaio;0.00000000;0.00000000;true
11783628;Rua Osmar Soares Magalhães;54857;54;26;4;"";Rua Osmar Soares Magalhães;0.00000000;0.00000000;true
11783232;Rua Carnaúba;54830;54;26;4;"";Rua Carnaúba;0.00000000;0.00000000;true
11785174;Rua Nove;54828;54;26;4;"";Rua Nove;0.00000000;0.00000000;true
11785124;Avenida do Telégrafo;54828;54;26;4;"";Avenida do Telégrafo;0.00000000;0.00000000;true
11776368;Rua Karl Palkovits;54833;54;26;4;"";Rua Karl Palkovits;0.00000000;0.00000000;true
11772526;Avenida Padre Anchieta;54883;54;26;4;"";Avenida Padre Anchieta;0.00000000;0.00000000;true
11775074;Rua Vinte e Oito;54837;54;26;4;"";Rua Vinte e Oito;0.00000000;0.00000000;true
11777010;Rua Quatro;54856;54;26;4;"";Rua Quatro;0.00000000;0.00000000;true
11784346;Rua Leonora Ruday Pereira;54879;54;26;4;"";Rua Leonora Ruday Pereira;0.00000000;0.00000000;true
