id;cidade;id_estado;latitude;longitude;cod_ibge;cod_ddd;area_km
4190;Lambari DOeste;13;-15.31916000;-58.00468000;5105234;65;1765.08
4191;Mirassol DOeste;13;-15.67458000;-58.09903000;5105622;65;1079.66
4192;São José dos Quatro Marcos;13;-15.48301000;-58.15600000;5107107;65;1287.88
4193;Figueirópolis DOeste;13;-15.44545000;-58.73886000;5103809;65;888.11
4194;Glória DOeste;13;-15.76921000;-58.31202000;5103957;65;835.39
4195;Indiavaí;13;-11.13875000;-58.61126000;5104500;65;592.64
4196;Tangará da Serra;13;-14.61980000;-57.48942000;5107958;65;11597.70
4197;Campos de Júlio;13;-13.72127000;-59.25916000;5102686;65;6801.86
4198;Comodoro;13;-13.65777000;-59.78413000;5103304;65;21518.25
4199;Juína;13;-15.55962000;-56.05484000;5105150;66;26189.92
4200;Aripuanã;13;-10.18336000;-59.44131000;5101407;66;25107.97
4201;Cotriguaçu;13;-9.90085000;-58.56640000;5103379;66;9421.08
4202;Colniza;13;-9.44882820;-59.22649620;5103254;66;27946.13
4203;Rondolândia;13;-10.84398000;-61.45890000;5107578;66;12670.85
4204;Juruena;13;-10.33087000;-58.50381000;5105176;66;2778.99
4205;Castanheira;13;-11.13975000;-58.60800000;5102850;66;3909.54
4206;Brasnorte;13;-15.55542000;-54.30958000;5101902;66;15959.14
4207;Campo Novo do Parecis;13;-13.65997000;-57.89293000;5102637;65;9434.43
4208;Sapezal;13;-13.53954000;-58.81638000;5107875;65;13624.37
4209;Nova Olímpia;13;-14.78172000;-57.28843000;5106232;65;1367.74
4210;Denise;13;-14.73453000;-57.04895000;5103452;65;1278.50
4211;Barra do Bugres;13;-15.06940000;-57.19282000;5101704;65;5984.94
4212;Porto Estrela;13;-15.32478000;-57.21871000;5106851;65;2057.33
4213;Diamantino;13;-14.37928000;-56.38006000;5103502;65;8230.10
4214;Alto Paraguai;13;-14.92366000;-56.84207000;5100508;65;1846.15
4215;Nova Marilândia;13;-15.23839000;-56.48898000;5108857;65;1936.43
4216;Arenápolis;13;-14.44982000;-56.84521000;5101308;65;415.59
4217;Santo Afonso;13;-14.49439000;-57.00043000;5107263;65;1174.21
4218;Nortelândia;13;-14.44835980;-56.79854600;5106000;65;1353.60
4219;São José do Rio Claro;13;-13.44607000;-56.72066000;5107305;66;4536.20
4220;Nova Maringá;13;-13.02123000;-57.09186000;5108907;66;11557.30
4221;Nova Mutum;13;-10.60019000;-55.12250000;5106224;65;9544.57
4222;Santa Rita do Trivelato;13;-13.81532000;-55.27462000;5107768;65;4733.92
