id;bairro;id_cidade;latitude;longitude
213;Jardim São Bento;1;-23.50540000;-46.65232000
214;Parque Peruche;1;-23.70480000;-46.64039000
215;Vila Ester;1;-23.49855000;-46.64866000
216;Vila Vanda;1;-23.49463000;-46.65186000
217;Jardim São Miguel;1;-23.48926000;-46.65320000
218;Jardim S Kemel;1;-23.48995000;-46.65288000
219;Jardim Rossin;1;-23.48621000;-46.65833000
220;Vila Gouveia;1;-23.48725000;-46.65746000
221;Sítio do Mandaqui;1;-23.49121000;-46.65957000
222;Casa Verde Alta;1;-23.48729000;-46.66765000
223;Limão;1;-23.51003000;-46.67689000
224;Sítio do Morro;1;-23.49866000;-46.66648000
225;Vila Bandeirantes;1;-23.48848000;-46.64954000
226;Vila Diva (Zona Norte);1;-23.50032000;-46.66910000
227;Vila Barbosa;1;-23.50128000;-46.67257000
228;Vila Prado;1;-23.24734000;-45.90521000
229;Vila Santa Maria;1;-23.48926000;-46.66946000
230;Vila Santista;1;-23.49417000;-46.67115000
231;Jardim Aida;1;-23.49049000;-46.66782000
232;Chácara Morro Alto;1;-23.48634000;-46.67212000
233;Conjunto Habitacional Vila Nova Cachoeirinha;1;-23.48060200;-46.66655060
234;Conjunto Habitacional Morro da Esperança (Cachoeirinha);1;-23.58533000;-46.39693000
235;Vila dos Andrades;1;-23.47552000;-46.66792000
236;Vila Amélia;1;-23.47158000;-46.65335000
237;Vila Continental;1;-23.46836000;-46.65502000
238;Vila Bela Vista (Zona Norte);1;-23.46668000;-46.65725000
239;Vila Amália (Zona Norte);1;-23.46937000;-46.65155000
240;Vila Amalia;1;-23.46329000;-46.63947000
241;Jardim Peri;1;-21.99622000;-47.85134000
242;Vila Pedra Branca;1;-23.45769000;-46.64305000
243;Vila Santos;1;-23.45524000;-46.64801000
244;Jardim Itatinga;1;-23.45054000;-46.64328000
245;Jardim Pedra Branca;1;-23.58216000;-46.41728000
246;Jardim Antártica;1;-23.45349000;-46.65818000
247;Jardim Santa Cruz (Zona Norte);1;-23.45749000;-46.66752000
248;Vila Dionisia;1;-23.46587000;-46.66431000
249;Jardim Peri Novo;1;-23.45441000;-46.66965000
250;Jardim Santa Cruz;1;-22.52494000;-46.64024000
251;Vista Alegre;1;-23.85243000;-46.84481000
252;Jardim das Graças;1;-23.50626000;-46.68408000
253;Jardim Pereira Leite;1;-23.50718000;-46.68018000
254;Vila Siqueira (Zona Norte);1;-23.50077000;-46.68032000
255;Conjunto Residencial Novo Pacaembu;1;-23.50067000;-46.67738000
256;Vila Siqueira;1;-23.49856000;-46.67600000
257;Vila Palmeiras;1;-23.50116000;-46.68377000
258;Vila São Vicente;1;-23.49559000;-46.69417000
259;Nossa Senhora do Ó;1;-23.50031000;-46.70041000
260;Vila Primavera;1;-23.58771000;-46.53159000
261;Parque Monteiro Soares;1;-23.48947000;-46.69386000
262;Itaberaba;1;-23.48502000;-46.68886000
263;Vila Bancária Munhoz;1;-23.48856000;-46.68487000
264;Vila Carbone;1;-23.48944000;-46.68114000
265;Vila Maria Luisa;1;-23.49040000;-46.68442000
266;Jardim Primavera (Zona Norte);1;-23.48877000;-46.68223000
267;Parque Mandi;1;-23.48261000;-46.68167000
268;Vila Acre;1;-23.48342000;-46.68019000
269;Vila Ramos;1;-23.48155000;-46.67847000
270;Jardim Adélia;1;-23.62125000;-46.48085000
271;Jardim Cachoeira;1;-23.48189000;-46.67429000
272;Parque Itaberaba;1;-23.48003000;-46.67686000
273;Vila Hebe;1;-23.43391000;-46.77470000
274;Vila Brasilândia;1;-23.44898000;-46.70873000
275;Vila Julio Cesar;1;-23.48770000;-46.69488000
276;Vila Cruz das Almas;1;-23.48328000;-46.69944000
277;Jardim Maristela;1;-23.47294000;-46.70017000
278;Jardim São Silvestre;1;-23.47713000;-46.69641000
279;Vila Morro Grande;1;-23.47349000;-46.69982000
280;Sítio Morro Grande;1;-23.48699000;-46.69813000
281;Jardim Monte Alegre (Zona Norte);1;-23.47354000;-46.70194000
282;Jardim Paulistano (Zona Norte);1;-22.70926000;-47.36604000
283;Cidade Nitro Operária;1;-23.49288000;-46.43763000
284;Conjunto Residencial Elisio Teixeira Leite;1;-23.44319000;-46.71263000
285;Conjunto Habitacional Brigadeiro Eduardo Gomes;1;-23.44483000;-46.71464000
286;Vila Nina;1;-23.47670000;-46.69542000
287;Vila Portuguesa;1;-23.60316000;-46.50922000
288;Parque São Luís;1;-23.48330000;-46.69297000
289;Vila Serralheiro;1;-23.49737000;-46.70644000
290;Vila João Batista;1;-23.46175000;-46.70086000
291;Vila Icarai;1;-23.68837000;-46.66628000
292;Jardim Maracanã;1;-23.56287000;-46.65468000
293;Jardim do Tiro;1;-23.47602000;-46.68670000
294;Jardim Tiro ao Pombo;1;-23.47360000;-46.68958000
295;Brasilândia;1;-23.59046000;-46.63200000
296;Vila Penteado;1;-23.46839000;-46.67928000
297;Vila Itaberaba;1;-23.46343000;-46.69499000
298;Vila Isabel;1;-23.46045000;-46.69892000
299;Jardim Guarani;1;-23.56287000;-46.65468000
300;Parque Belém;1;-23.46004000;-46.68632000
301;Vila Teresinha;1;-23.45606000;-46.69664000
302;Jardim Carombé;1;-23.45409000;-46.69961000
303;Jardim Princesa;1;-23.61052000;-46.45560000
304;Jardim Vista Alegre;1;-23.45237000;-46.68968000
305;Vila Ana Rosa;1;-23.43454000;-46.70919000
306;Vila Nova Parada;1;-23.62391000;-46.60778000
307;Jardim Brasília (Zona Norte);1;-23.61499000;-46.45163000
308;Jardim Brasília;1;-23.65456000;-46.74157000
309;Jardim Vitória Régia (Zona Norte);1;-23.59801000;-46.49814000
310;Vila Souza;1;-23.46311000;-46.68253000
311;Vila Rica;1;-23.58157000;-46.51887000
312;Jardim Elisio;1;-23.47687000;-46.68121000
313;Vila Gabriel;1;-23.47644000;-46.67883000
314;Jardim Almanara;1;-23.47235000;-46.67657000
315;Jardim Alvorada (Zona Norte);1;-23.47442000;-46.68025000
316;Vila Elias Nigri;1;-23.47270000;-46.67316000
317;Parque Tietê;1;-23.46042000;-46.67706000
318;Jardim Ondina;1;-23.52931000;-46.47446000
319;Jardim Cecy;1;-23.57866000;-46.40695000
320;Conjunto Promorar Estrada da Parada;1;-23.49864000;-46.71568000
321;Jardim Elisa Maria;1;-23.54166000;-46.37409000
322;Jardim dos Francos;1;-23.45729000;-46.67907000
323;Jardim Paraná;1;-22.88696000;-45.38371000
324;Jardim Damasceno;1;-23.44563000;-46.69847000
325;Vila Francos;1;-23.46749000;-46.67443000
326;Jardim Centenário;1;-23.57741000;-46.74650000
327;Freguesia do Ó;1;-23.49977000;-46.69715000
328;Vila Arcádia;1;-23.57124000;-46.59263000
329;Vila Santa Delfina;1;-23.50514000;-46.69924000
330;Vila União(Zona Norte);1;-23.50542000;-46.70474000
331;Piqueri;1;-23.50194000;-46.71316000
332;Vila Ursulina;1;-23.60007000;-46.67816000
333;Vila Taiau;1;-23.65938000;-46.71677000
334;Vila Pirituba;1;-23.48082000;-46.71015000
335;Pirituba;1;-23.49538000;-46.71375000
336;Vila Barreto;1;-23.48659000;-46.71984000
337;Vila Bonilha;1;-23.47288000;-46.57934000
338;Vila Pereira Cerca;1;-23.49755000;-46.71557000
339;Vila Portugal;1;-23.49592000;-46.71416000
340;Vila Bonilha Nova;1;-23.52716000;-46.84676000
341;Vila Pereira Barreto;1;-23.52716000;-46.84676000
342;Vila Olga Cecília;1;-23.49061000;-46.70988000
343;Moinho Velho;1;-23.55475000;-46.80847000
344;Vila Moinho Velho;1;-23.60721000;-46.60149000
345;Vila América;1;-23.62117000;-46.76487000
346;Jardim Bela Vista (Zona Norte);1;-23.49247000;-46.70645000
347;Vila Picinin;1;-23.45462000;-46.71007000
348;Jardim São José (Zona Norte);1;-23.48766000;-46.70980000
349;Vila Catupia;1;-23.49265000;-46.71316000
350;Vila Bruna;1;-23.48679000;-46.70428000
351;Vila Genioli;1;-23.48860000;-46.70650000
352;Jardim Cidade Pirituba;1;-23.47934000;-46.71982000
353;Vila Nossa Senhora do Retiro;1;-23.47327000;-46.72348000
354;Vila Renato (Zona Norte);1;-22.78017000;-47.35144000
355;Vila Renato;1;-23.55038000;-46.53752000
356;Jardim Paquetá (Zona Norte);1;-23.44009000;-46.57574000
357;Vila Mirante;1;-23.46917000;-46.71964000
358;Jardim Monjolo;1;-23.49280000;-46.69844000
359;Vila Cavaton;1;-23.49221000;-46.70216000
360;Chácara Nossa Senhora Aparecida;1;-23.48810000;-46.70403000
361;Vila Iório;1;-23.48658000;-46.70671000
362;Vila Marina;1;-23.48548000;-46.70968000
363;Jardim Mariliza;1;-23.48185000;-46.70592000
364;Vila Yara;1;-23.56287000;-46.65468000
365;Vila Miriam;1;-22.87700280;-47.04673860
366;Vila Regina;1;-23.47824000;-46.70792000
367;Vila Maria Trindade;1;-23.48544000;-46.71003000
368;Jardim São José;1;-23.72352000;-46.69854000
369;Vila Zat;1;-23.48121000;-46.71555000
370;Vila Duarte;1;-23.47867000;-46.70952000
371;Vila Progresso (Zona Norte);1;-23.47449000;-46.70606000
372;Vila Progresso;1;-23.52243000;-46.44250000
373;Vila Hermínia;1;-21.47955000;-47.37370000
374;Jardim Sydney;1;-23.45328000;-46.71489000
375;Jardim Maggi;1;-24.02896000;-46.49505000
376;Jardim Lider;1;-23.45093000;-46.71941000
377;Jardim Pirituba;1;-21.82455000;-47.24662000
